id,name,role,country,basePrice,style,photoUrl,status,soldTo,soldPrice
1,Virat Kohli,Batsman,India,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/2.png,unsold,,0
2,Rohit Sharma,Batsman,India,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/6.png,unsold,,0
3,MS Dhoni,Wicket-keeper,India,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,unsold,,0
4,Jasprit Bumrah,Bowler,India,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png,unsold,,0
5,Ravindra Jadeja,All-rounder,India,2.0,Left-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/46.png,unsold,,0
6,KL Rahul,Wicket-keeper,India,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png,unsold,,0
7,Hardik Pandya,All-rounder,India,2.0,Right-hand/fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,unsold,,0
8,Rishabh Pant,Wicket-keeper,India,2.0,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,unsold,,0
9,Shubman Gill,Batsman,India,1.5,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,unsold,,0
10,Mohammed Siraj,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png,unsold,,0
11,David Warner,Batsman,Australia,2.0,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,unsold,,0
12,Glenn Maxwell,All-rounder,Australia,2.0,Right-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/28.png,unsold,,0
13,Pat Cummins,Bowler,Australia,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,unsold,,0
14,Mitchell Starc,Bowler,Australia,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png,unsold,,0
15,Ben Stokes,All-rounder,England,2.0,Left-hand/fast,https://documents.iplt20.com/ipl/IPLHeadshot2023/177.png,unsold,,0
16,Jos Buttler,Wicket-keeper,England,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/182.png,unsold,,0
18,Kagiso Rabada,Bowler,South Africa,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png,unsold,,0
19,Quinton de Kock,Wicket-keeper,South Africa,2.0,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/170.png,unsold,,0
20,Suryakumar Yadav,Batsman,India,1.5,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/174.png,unsold,,0
21,Ishan Kishan,Wicket-keeper,India,1.5,Left-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/164.png,unsold,,0
22,Yuzvendra Chahal,Bowler,India,1.5,Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/10.png,unsold,,0
23,Axar Patel,All-rounder,India,1.0,Left-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,unsold,,0
24,Shreyas Iyer,Batsman,India,1.5,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,unsold,,0
25,Trent Boult,Bowler,New Zealand,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/66.png,unsold,,0
26,Kane Williamson,Batsman,New Zealand,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2024/65.png,unsold,,0
27,Mohammed Shami,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/47.png,unsold,,0
28,Ravichandran Ashwin,All-rounder,India,1.5,Right-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png,unsold,,0
30,Faf du Plessis,Batsman,South Africa,2.0,Right-hand,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png,unsold,,0
